00001, Customer: 0001,,C:\User\Documents\test1.txt
00002, Customer: 0002,,C:\User\Documents\test2.txt
00003, Customer: 0003,,C:\User\Documents\test3.txt
00004, Customer: 0004,,C:\User\Documents\test4.txt
00005, Customer: 0005,,C:\User\Documents\test5.txt
00006, Customer: 0006,,C:\User\Documents\test6.txt
00007, Customer: 0007,,C:\User\Documents\test7.txt
00008, Customer: 0008,,C:\User\Documents\test8.txt
00009, Customer: 0009,,C:\User\Documents\test9.txt
00010, Customer: 0010,,C:\User\Documents\test9.txt
